label,log,Predicted_Label
1,ModuleNotFoundError: No module named 'javapackages',1
3,Package dependency requirement 'protobuf >= 2.6.0' could not be satisfied. Package 'protobuf' has version '2.5.0'  required version is '>= 2.6.0',3
1,ModuleNotFoundError: No module named 'javapackages',1
1,ModuleNotFoundError: No module named 'giscanner._giscanner',1
4,ERROR: test_view_dynamic (tagging.tests.tests.TestTaggedObjectList.test_view_dynamic) raise source.error('global flags not at the start ' re.error: global flags not at the start of the expression at position 14,4
1,ModuleNotFoundError: No module named 'javapackages',1
1,ModuleNotFoundError: No module named 'javapackages',1
1,"[ 1555s] gmake[3]: *** No rule to make target 'w'.  Stop.
[ 1555s] gmake[3]: Leaving directory '/home/abuild/rpmbuild/BUILD/petsc-3.18.4'
[ 1555s] gmake[2]: *** [/home/abuild/rpmbuild/BUILD/petsc-3.18.4/lib/petsc/conf/rules:56: libs] Error 2",1
3,Error: unsupported machine: riscv64.,3
1,ModuleNotFoundError: No module named 'giscanner._giscanner',1
1,configure: error: 'libgeos_c' (>= v.3.7.0) is required but it doesn't seem to be installed on this system. You may need to try re-running configure with a --disable-geos370 parameter.,1
4,dh.cc:40:23: error: 'get_dh2048' was not declared in this scope,3
1,"[  111s] Lmod has detected the following error: The following module(s) are unknown:
[  111s] ""netcdf""",1
3,beam/beam_load.c(1871): Error loading module getopt:    This BEAM file was compiled for a later version of the run-time system than 21.,3
1,"[  132s] Lmod has detected the following error: The following module(s) are unknown:
[  132s] ""mvapich2""",1
7,"[  120s] qemu-kvm: terminating on signal 15 from pid 12345 (<unknown process>)\nJob seems to be stuck here, killed. (after 60000 seconds of inactivity)",7
2,FAILED tests/testsuite.py::XMLTestRunnerTestCase::test_basic_unittest_constructs FAILED tests/testsuite.py::XMLTestRunnerTestCase::test_unexpected_success - A,2
2,Error in test test_with_syslog (ZConfig.components.logger.tests.test_logger.TestConfig.test_with_syslog) AttributeError: module 'socket' has no attribute 'SocketError',4
2,FAILED test/test_filepath.py::Test_validate_filepath::test_exception_invalid_char[17DOJ6bKqfdiULG0LywrS37oFh7LAmeHJJyGieLRVf4xjHkenEuiBa8P0zwknBE1\x0017DOJ6bKqfdiULG0LywrS37oFh7LAmeHJJyGieLRVf4xjHkenEuiBa8P0zwknBE1] FAILED test/test_filepath.py::Test_sanitize_filepath::test_normal_str[universal-AA\x00B--AAB0],2
3,file /usr/lib64/libdw-0.185.so from install of elfutils-libs-0.185-3.oe1.riscv64 conflicts with file from package elfutils-0.185-5.oe1.riscv64,3
4,error: array bound is not an integer constant before ']' token,4
3,distutils.errors.DistutilsError: Command '['/usr/bin/python3'  '-m'  'pip'  '--disable-pip-version-check'  'wheel'  '--no-deps'  '-w'  '/tmp/tmp0lyyfq1n'  '--quiet'  'setuptools_scm[toml]>=3.4.1']' returned non-zero exit status 1.,3
7,[java] error(12): org.antlr.tool.Grammar.createLookaheadDFA: timed out (>5000ms),7
1,pkg_resources.DistributionNotFound: The 'pytz>=2015.7' distribution was not found and is required by babel,1
2,[ERROR] Tests run: 5  Failures: 0  Errors: 1  Skipped: 0  Time elapsed: 3 226.333 s <<< FAILURE! - in org.apache.pdfbox.encryption.TestSymmetricKeyEncryption,2
1,ModuleNotFoundError: No module named 'six',1
1,CMake Error at /usr/share/cmake/Modules/FindPackageHandleStandardArgs.cmake:218 (message):    Could NOT find LuaJIT (missing: LUAJIT_LIBRARY LUAJIT_INCLUDE_DIR),1
7,"Job seems to be stuck here, killed. (after 60000 seconds of inactivity)",7
7,"[73980s] qemu-kvm: terminating on signal 15 from pid 31691 (<unknown process>)
Job seems to be stuck here, killed. (after 70000 seconds of inactivity)",7
10,"[   63s] Patch #1 (895.patch):
[   63s] + /usr/bin/patch --no-backup-if-mismatch -f -p1 --fuzz=0
[   63s] patching file slim-4.1.1.gemspec
[   63s] Hunk #1 FAILED at 26.
[   63s] 1 out of 1 hunk FAILED -- saving rejects to file slim-4.1.1.gemspec.rej",10
5,error: File not found: /home/abuild/rpmbuild/BUILDROOT/oemaker-2.0.3-13.oe1.riscv64/etc/isocut/anaconda-ks.cfg,5
7,"Job seems to be stuck here, killed. (after 86400 seconds of inactivity)",7
3,At least Erlang/OTP 22.0 is required to build Elixir,3
2,"FAILED test_datadiff.py::test_diff_set - assert ""--- x\n+++ y...n 3 \n 7 \n])... FAILED test_datadiff.py::test_diff_frozenset - assert ""--- x\n+++ y...n 3 \n ",2
1,"[  144s] Lmod has detected the following error: The following module(s) are unknown:
[  144s] ""openmpi""",1
1,CMake Error at src/plugins/CMakeLists.txt:116 (message):    Ruby not found,1
1,ModuleNotFoundError: No module named 'javapackages',1
1,ModuleNotFoundError: No module named 'giscanner._giscanner',1
3,file /usr/lib64/libdw-0.185.so from install of elfutils-libs-0.185-3.oe1.riscv64 conflicts with file from package elfutils-0.185-5.oe1.riscv64,3
1,"[  615s] strace: ptrace(PTRACE_TRACEME, ...): Function not implemented
[  615s] strace: PTRACE_SETOPTIONS: Function not implemented
[  615s] strace: detach: waitpid(8933): No child processes
[  615s] strace: Process 8933 detached
[  615s] FATAL: Failed to run 'strace'.",1
2,make[4]: *** [Makefile:40491: test-suite.log] Error 1 make[3]: *** [Makefile:40599: check-TESTS] Error 2,2
1,"[  318s] /tmp/ccaAvGTI.ltrans0.ltrans.o: in function `tinyxml2::StrPair::SetStr(char const*, int)':
[  318s] /home/abuild/rpmbuild/BUILD/noson-2.10.2/noson/src/private/tinyxml2.cpp:108:(.text+0x593c): relocation truncated to fit: R_RISCV_PCREL_HI20 against `.LC81'
[  319s] collect2: error: ld returned 1 exit status",1
4,memory_allocator.h:119:15: error: 'sys_mmap' was not declared in this scope memory_allocator.h:145:7: error: 'sys_munmap' was not declared in this scope; did you mean 'munmap'?,4
1,ModuleNotFoundError: No module named 'giscanner._giscanner',1
1,ModuleNotFoundError: No module named 'javapackages',1
4,NoMethodError: undefined method `source_location' for #<Binding:0x0000002ac6508d18>,3
3,file /usr/lib64/libdw-0.185.so from install of elfutils-libs-0.185-3.oe1.riscv64 conflicts with file from package elfutils-0.185-5.oe1.riscv64,3
4,simd_generic.hpp:324:56: error: cannot convert 'const ngcore::SIMD<double  1>' to 'double' in initialization,4
1,ModuleNotFoundError: No module named 'giscanner._giscanner',1
1,"[  234s] meson.build:79:2: ERROR: Dependency ""mutter-clutter-11"" not found, tried ",1
1,ModuleNotFoundError: No module named 'javapackages',1
5,make[3]: *** No rule to make target 'param.riscv64_linux26.h'  needed by 'param.h.new'.  Stop.,1
6,AssertionError: MemoryError not handled properly,4
4,line 16: It's not recommended to have unversioned Obsoletes: Obsoletes:      libjose line 33: It's not recommended to have unversioned Obsoletes: Obsoletes:      libjose-devel,10
1,"[  199s] Lmod has detected the following error: The following module(s) are unknown:
[  199s] ""openmpi""",1
1,ModuleNotFoundError: No module named 'giscanner._giscanner',1
1,ModuleNotFoundError: No module named 'six',1
3,beam/beam_load.c(1871): Error loading module getopt:    This BEAM file was compiled for a later version of the run-time system than 21.,3
4,operf_utils.cpp:1423:2: error: 'rmb' was not declared in this scope,4
10,"Badness 1070 exceeds threshold 999, aborting build",10
1,ModuleNotFoundError: No module named 'javapackages',1
10,/usr/lib/rpm/brp-digest-list: line 32: gen_digest_lists: command not found,10
1,ModuleNotFoundError: No module named 'giscanner._giscanner',1
5,libmicrohttpd-tutorial.texi:115: @include: could not find chapters/websocket.inc,1
10,lto-wrapper: fatal error: make returned 2 exit status,10
10,"Badness 1050 exceeds threshold 999, aborting job",10
1,"[  180s] Lmod has detected the following error: The following module(s) are unknown:
[  180s] ""openmpi""",1
7,Job seems to be stuck here  killed. (after 28800 seconds of inactivity),7
5,cc1: fatal error: renesas/*.dts: No such file or directory,5
3,../../utils/parse_plt.h:134:2: error: #error Unknown architecture    134 | #error Unknown architecture,3
1,ModuleNotFoundError: No module named 'javapackages',1
4,pkg/drivers/kvm/domain.go:67:53: undefined: domainTmpl,4
5,touch: cannot touch '_output/bin/prerelease-lifecycle-gen': No such file or directory,5
4,siplib.c:13750:22: error: invalid use of undefined type 'struct _frame',4
1,pkg_resources.DistributionNotFound: The 'pytz>=2015.7' distribution was not found and is required by babel,1
